QE.File.Name,Station,Water.depth..m.,Day, Depth_Nut, Cast_Nut, RosPos_Nut, PO4, NO3+NO2, SiO4, LLN, LLP, Heterotrophic_Bacteria, Prochlorococcus, Synechococcus, Eukaryotes,Time, Latitude, Longitude, Depth, Cast, RosPos, CTD_Temperature, CTD_Salinity, CTD_Oxygen, CTD_Chloropigment, Potential_Temperature, Potential_Density, Bottle_Oxygen, DIC, Alkalinity, pH, PC, PN, PP, PSi, Chlorophyll, Pheopigment,Mixed_Layer_depth,Is_DMC,In_Mixed_Layer
QE005924,8,15,30-Jun,14.6,2,23,0.04,0,,0,0.05,5.051,1.652,0.01,0.008,2017-06-30T18:58:13,25.925,-158.124,15.7,1,22,26.143,35.074,206.8,0.0902,26.139,23.0476,,1992.8,2306,8.073,1.84,0.23,,,0.05,0.03,25,FALSE,TRUE
QE005945,8,175,30-Jun,175.5,2,5,0.16,1.12,,,0.16,2.313,0.042,0,0.002,2017-06-30T18:40:15,25.925,-158.124,174.4,1,4,19.577,35.105,209.6,0.1284,19.545,24.9622,,2046.9,2306,7.973,0.67,0.13,,,0.03,0.08,25,FALSE,FALSE
QE005925,8,75,30-Jun,74.5,2,12,0.03,0,,0,0.04,6.212,2.629,0.019,0.015,2017-06-30T18:52:40,25.925,-158.124,74.6,1,16,23.794,35.175,219.5,0.1974,23.778,23.8411,,2006.9,2322,8.064,1.94,0.3,,,0.12,0.07,25,FALSE,FALSE
QE005960,9,100,30-Jun,99.9,3,16,0.06,0,,0.01,0.07,3.765,1.072,0.001,0.019,2017-06-30T23:58:35,25.679,-158.225,100.5,2,14,21.895,35.212,213.2,0.4507,21.875,24.4154,,,,,,,,,,,35,FALSE,FALSE
QE005969,9,110,30-Jun,111,3,15,0.08,0,,0.17,0.09,3.517,0.77,0,0.021,2017-06-30T23:56:41,25.679,-158.225,109.7,2,12,21.436,35.184,208.4,0.8873,21.415,24.5218,,2037.7,2314,8.011,1.46,0.26,,,0.26,0.51,35,TRUE,FALSE
QE005964,9,125,30-Jun,123.8,3,12,0.14,0.75,,,0.13,2.781,0.407,0,0.014,2017-06-30T23:53:37,25.679,-158.225,124.4,2,7,20.605,35.154,212.9,0.5248,20.581,24.7257,,,,,,,,,,,35,FALSE,FALSE
QE005950,9,15,30-Jun,15.4,3,23,0.05,0,,0,0.05,5.031,1.625,0.013,0.009,2017-07-01T00:07:20,25.679,-158.225,14.4,2,22,26.127,35.069,207,0.0705,26.124,23.0487,,1996.7,2312,8.071,2.08,0.25,,,0.05,0.03,35,FALSE,TRUE
QE005965,9,175,30-Jun,173.9,3,8,0.26,2.67,,,0.25,1.832,0.016,0,0.001,2017-06-30T23:48:48,25.679,-158.225,173.9,2,4,18.378,34.956,210.5,0.1079,18.348,25.1533,,2049.7,2300,7.958,0.6,0.11,,,0.02,0.06,35,FALSE,FALSE
QE005952,9,75,30-Jun,75.4,3,17,0.05,0,,0,0.05,5.073,2.313,0.017,0.013,2017-07-01T00:01:04,25.679,-158.225,74,2,16,23.257,35.201,220.1,0.2173,23.242,24.0177,,2013.8,2317,8.057,2.26,0.26,,,0.12,0.08,35,FALSE,FALSE
QE005115,Extraction Blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QE005125,Extraction Blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QE005148,Extraction Blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QE005179,Extraction Blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QE005180,Extraction Blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QE005181,Extraction Blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
